filename,caption
000000459757.jpg,A giraffe standing by a pair of skinny trees.
000000124277.jpg,A train that is going through a city.
000000151662.jpg,a giraffe behind a fence eating grass from a feeder
000000269682.jpg,A traffic light over a street with a sign that reads K.
000000031322.jpg,A flock of swans swims in a bay.
000000235252.jpg,A herd of giraffe walking along a grassy tree covered plain.
000000088462.jpg,A large yellow school bus stopping on a road.
000000057149.jpg,A school bus and a silver car waiting at a railroad crossing for a train to go past.
000000143931.jpg,A political candidate advertisement on the side of a coach bus.
000000520009.jpg,There is traffic passing by a large building
000000341921.jpg,A young man sitting on a park bench next to a playground.
000000469652.jpg,a close up of a giraffes head with a wooden wall in the background
000000176701.jpg,Identical street signs pointing in the opposite directions of each other. 
000000203294.jpg,A tour bus with a cats face painted on the front of it
000000568290.jpg,A red extra long bus driving down a stone covered walkway.
000000060090.jpg,A yellow commuter train parked at a train station.
000000476491.jpg,an alley between two buildings with a sky in the background
000000090208.jpg,The picture of three buses on a lot.
000000514376.jpg,A trolley is going down the street while a car passes it.
000000443969.jpg,A baby girl standing in a shopping cart holding an umbrella.
000000458790.jpg,A view from the inside of a train from a side window.
000000062353.jpg,Two giraffe walking next to each other in a forest.
000000319607.jpg,A bent traffic light next to the side of a street.
000000269942.jpg,Vehicles on a street near a green traffic light.
000000516708.jpg,A street sign that reads Sparta sitting next to a tall building.
000000448448.jpg,Two giraffes grazing on some green leaves in the field.
000000133000.jpg,A city view of an E-train on a track
000000298697.jpg,Horses are standing in an open field in the grass.
000000375493.jpg,A woman in yellow shirt and skirt with cats in grass.
000000354753.jpg,A street with traffic lights and cars at night.
000000333402.jpg,A man standing in front of the open door of a bus.
000000396568.jpg,An orange and black train with train cars passing trees.
000000000724.jpg,A stop sign is mounted upside-down on it's post. 
000000249643.jpg,A train traveling down train tracks near a train station.
000000065288.jpg,A yellow and green object with a brown bird perched on top of it.
000000357748.jpg,A pink city bus at a bus stop.
000000369442.jpg,A group of people standing around a herd of animals in a city.
000000147725.jpg,a public transit bus on a city street 
000000372819.jpg,Four smaller dogs are running away from the women on the bench. 
000000049259.jpg,A man with his shirt off sitting by the shoreline sunning himself. 
000000100723.jpg,A large group of people standing in the street.
000000289594.jpg,A man in a hat leaning against a pole
000000244379.jpg,"This highway is empty this early on the morning,"
000000373353.jpg,People crossing a street in front of a taxi and tour bus.
000000472030.jpg,A lush green forest filled with lots of trees.
000000064359.jpg,Three zebra and four giraffe inside a fenced area.
000000475223.jpg,A bird standing next to a lot of tall grass.
000000133819.jpg,A blue bus driving down a city street.
000000091619.jpg,A red stop sign sitting next to a light pole.
000000278749.jpg,a black and white photo of a person holding a sign
000000324818.jpg,a couple of birds are standing on a branch
000000169169.jpg,"A banner in a metropolitan area reading ""spring in the city""."
000000165039.jpg,A bus driving in a city area with traffic signs.
000000390301.jpg,A white and green rusted fire hydrant spewing out frozen water.
000000315187.jpg,an old passenger bus parked next to a walgreens 
000000407518.jpg,A brown bird perched on top of a metal fence.
000000140640.jpg,A group of women wearing hats while standing at a dessert table.
000000104782.jpg,a stop sign and a white and green street sign and a tree
000000200162.jpg,A train traveling under a signal lights on top of tracks.
000000087244.jpg,the fire hydrant has on the side of the road
000000575372.jpg,A road sign that indicates route sixty six.
000000126592.jpg,A red stop sign sitting under a couple of street signs.
000000017905.jpg,A man standing next to a light and a sign.
000000381639.jpg,A little girl walking along a row of orange cones.
000000142472.jpg,A city filled with lots of vehicles and pedestrian traffic.
000000413404.jpg,A park with lots of benches under trees.
000000350607.jpg,A bench on a road side with a quilt covering it.
000000205282.jpg,A group of giraffes that are standing in the grass.
000000362682.jpg,A cartoon dog is painted on the side of the passenger bus.
000000166563.jpg,A large statue of an elephant is attached to a business sign.
000000098497.jpg,A traffic sign that has a picture of a man holding a surfboard on it.
000000042888.jpg,A corner street sign with a tow sign and a art piece
000000152465.jpg,A fire hydrant with a tire underneath it.
000000130386.jpg,A sign on the side of a busy street outside a shopping center
000000484404.jpg,There are not many passengers on the bus.
000000289222.jpg,"A street light that shows, horse crossing on it."
000000134722.jpg,Fast commuter train moving past an outdoor platform.
000000315492.jpg,A girl is playing with a teddy bear in a bathroom.
000000446522.jpg,A dog sitting on a chair underneath a painting.
000000389316.jpg,Two young elephants stand next to a wooden fence.
000000496597.jpg,Two people riding a small boat across a massive lake surrounded by mountains.
000000301061.jpg,A person is moving green hay towards an elephant that is inside the back of a white truck.
000000323828.jpg,"Train with lights on, multiple track area, near over/under pass."
000000507667.jpg,A map of the Boston subway printed on a statue of a cow.
000000564133.jpg,Some elephants walk together through the grass. 
000000570448.jpg,A man sanding on a boat next to a beach.
000000318080.jpg,two different bears fight with each other behind a log
000000535156.jpg,A large elephant scratching it's back on the side of a pole.
000000137727.jpg,A motorized cart fills a train with luggage
000000458223.jpg,a man walks along his bicycle near the ocean
000000047828.jpg,A blue lighted bridge over water at night.
000000540414.jpg,A group of people are sitting outside an outdoor market.
000000212800.jpg,A crowd of people riding on the back of a red and white boat.
000000265108.jpg,A blue piece of luggage sitting up against the side of a building.
000000233771.jpg,A black and white image with a colored british flag umbrella
000000232244.jpg,An elegant with a red shawl draped on top of it.
000000418281.jpg,two cows outside one laying down and the other standing near a building 
000000442822.jpg,Several rows of boats docked on a body of water.
000000288042.jpg,A gentleman walking in the rain along a river.
000000210708.jpg,A large elephant standing next to a small elephant playing in the water.
000000573943.jpg,Parking lot full of different colored semi trucks.
000000572517.jpg,a polar bear following a big winged bird
000000140203.jpg,A vehicle displays a customized license plate and milk advertisements.
000000108864.jpg,Two elephants cross tusks in confrontation in a field
000000004795.jpg,A cat observing a computer screen next to a laptop and a cordless phone.
000000347163.jpg,Traffic stop sign with dilapidated building behind it.
000000503823.jpg,several  wooden boats sitting in the sand
000000451308.jpg,A closet with several suit cases stacked up near some videos.
000000133343.jpg,A man with thick sunglasses and multiple piercings sits with his mouth open.
000000186296.jpg,Grey cat laying on a green floor near a sandel.
000000098839.jpg,A cat curiously looking sideways at a television.
000000278463.jpg,A laptop and planner sitting on a cluttered desk.
000000167128.jpg,A couple of adult elephants with a baby one following along.
000000294855.jpg,a suit case sits on a top next to some drink 
000000127660.jpg,A girl with a black eye and pig tails sits in a suitcase.
000000286994.jpg,some elephants and one is by some water
000000252716.jpg,A frisbee that is laying in the grass near a tree.
000000535608.jpg,some people sitting and standing on the beach
000000520707.jpg,Several people are seen walking through the airport while waiting for their bags.
000000445248.jpg,a group of little elephants standing close to each other 
000000185250.jpg,A woman standing next to a  brown and white dog.
000000250282.jpg,A group of young children sitting next to each other.
000000260261.jpg,A vendor selling fruit from the back of a truck.
000000119828.jpg,A cat sitting on top of a wooden desk.
000000565989.jpg,Large clock sitting on the side of a large building. 
000000518213.jpg,a large bull with horns standing in a grassy field
000000179174.jpg,very many travelling bags placed on the floor
000000240754.jpg,A black goat with its mouth open next to a white goat. 
000000155341.jpg,The street is blocked by a truck and a crane.
000000474164.jpg,There is a dog on top of a truck outside.
000000186422.jpg,a brown bear is walking away from a river
000000306582.jpg,A group of cows standing next to a  line of laundry drying.
000000534270.jpg,Man and woman with umbrella hats sitting on top of a bridge. 
000000337055.jpg,a woman with a tattoo is sitting on the train tracks
000000014888.jpg,"A cow getting relief as it is being milked.
"
000000346232.jpg,these people are walking together down a road
000000100428.jpg,A man is grabbing the tie of another person that appears in the mirror.
000000032861.jpg,A man holding an umbrella in a  hallway.
000000234757.jpg,A parking meter sitting in the middle of a flooded street.
000000270883.jpg,A woman in lingerie is laying on a soft bed.
000000166277.jpg,A cat drinking out of a glass on top of a table.
000000203546.jpg,The bear is inside of the river stream. 
000000231580.jpg,A man speaks to some children on a farm.  
000000008532.jpg,A man that has glasses and a hat.
000000389933.jpg,A dog sitting on a couch with its head cocked to the side.
000000033104.jpg,A group of people standing around each other in skis.
000000011760.jpg,A group of zebras walking away from trees.
000000061747.jpg,there is a woman about to ski down a hill
000000201676.jpg,Three zebras standing next to each other in a meadow with other zebras visible behind them
000000054123.jpg,The zebras are standing around and grazing in the pasture.
000000134856.jpg,Three people on horseback ride along the beach while waves come in.
000000509131.jpg,A bunch of mini bananas are hanging above a bowl of apples and oranges.
000000509735.jpg,A family of giraffes by a few zebras and a gazelle.
000000466602.jpg,A snow skier is standing on the snow.
000000552842.jpg,A pitcher spins as the ball flies by.
000000166426.jpg,Beef and vegetables on a plate sitting on a table.
000000194746.jpg,A pizza covered in cheese dripping down onto the bottom of an oven burning.
000000096825.jpg,A man with skis and ski poles is standing next to a hill covered in snow
000000054628.jpg,Ornate wedding cake ready at the hotel reception
000000263966.jpg,A large grey horse is behind a wooden fence.
000000521819.jpg,A group of kids play on a grassy area and lift their arms up as a Frisbee is just above their heads.
000000013546.jpg,A young man riding a skateboard on a stone wall.
000000138115.jpg,An old man making duck lips while holding an orange.
000000093965.jpg,Two zebras made of Lego stand in a field.
000000464522.jpg,A brown and white dog standing next to another dog.
000000003553.jpg,a person skating on some pieces of wood 
000000485972.jpg,A chocolate dessert cake ready on a plate with a fork
000000040036.jpg,A person jumping a horse over a box.
000000213547.jpg,A woman holding a small cake with lit candles.
000000112378.jpg,A wooden table topped with a bunch of green bananas.
000000456015.jpg,People are riding horses down a beach next to the water.
000000516316.jpg,An antilope is eating grass in between two zebra.
000000141671.jpg,Horses are racing next to motorcycles on a dirt track.
000000473121.jpg,A person leaning hard into a turn on a downhill ski course.
000000445439.jpg,A zebra grazing on dry hay next to a wire fence.
000000303499.jpg,Two people riding on the back of horses near a tall building.
000000052462.jpg,Two zebra standing next to each other in a dry grass field.
000000030504.jpg,A person riding skis down a snow covered slope.
000000119911.jpg,A boy doing a skateboard trick on a street.
000000434204.jpg,A man riding on a skateboard on the sidewalk.
000000269932.jpg,A toy horse sits atop a red wooden chair
000000002157.jpg,A plate of finger foods next to a blue and raspberry topped cake.
000000437205.jpg,The young boy just finished eating the banana.
000000105014.jpg,a salad that looks like a boat is next to a fork
000000236730.jpg,A zebra staring blankly near a watering hole.
000000324158.jpg,A man is skate boarding down a path and a dog is running by his side.
000000231527.jpg,The oranges are picked to make fresh jams.
000000462904.jpg,"A black horse is standing in the sand, with people in the background. "
000000064868.jpg,A man smiles maniacly while putting a dog into an oven.
000000309938.jpg,The brown fuzzy dog has round blue eyes.
000000035197.jpg,A person on a skateboard rides down a ramp.
000000048555.jpg,A group of people on horses racing together.
000000271471.jpg,A bunch of bananas on a plate on a counter.
000000153797.jpg,A baseball player throwing a pitch onto the field
000000504635.jpg,Three zebras are standing in the grass by the trees.
000000283520.jpg,Two men play around on a nature trail.
000000431848.jpg,A man is doing a trick on a sidewalk curb.
000000045472.jpg,A table with some oranges and some cups.
000000028809.jpg,A picture of a bunch of bananas sitting on a table. 
000000125405.jpg,Two brown and white dogs running in a park. 
000000547519.jpg,A brown bear walking across a forest surrounded by trees..
000000068933.jpg,A trio of zebra's leaned over eating hay on the ground.
000000029640.jpg,A skillet contains diced meat and mixed vegetables.
000000431545.jpg,Baseball player runs toward base while others stand around
000000496409.jpg,some guy that is skiing down a hill in some snow
000000369081.jpg,A group of horses are grazing in the field.
000000282037.jpg,A baseball player pitching a ball on top of a field.
000000331280.jpg,A couple of women and one man kneeling down before two horses.
000000291861.jpg,A Zebra standing in between a group of large rocks 
000000330818.jpg,A young man is working behind a counter. 
000000107094.jpg,A man riding skis on top of snow covered ground.
000000464089.jpg,A baseball game showing a batter waiting for a pitch.
000000051712.jpg,A man skiing down the side of a snow covered mountain.
000000110999.jpg,A painting of a man smiling behind a table with fruit
000000439290.jpg,A bunch of bananas hanging on the tree
000000146831.jpg,A person is riding a skateboard on a curved ramp.
000000122969.jpg,two zebras are standing together in the woods
000000113354.jpg,Three zebras munching on grass in their natural habitat.
000000020247.jpg,Bears lope over the ground in a dry landscape.
000000454798.jpg,there is a young boy that is riding a horse
000000216516.jpg,A man that is standing on ski's in the snow.
000000372307.jpg,A horse standing in the grass in a fenced in area.
000000460682.jpg,a horse that is laying down in a field
000000125472.jpg,A man flying through the air while riding a skateboard.
000000241677.jpg,The pack mules carrying loads on their backs are ascending the stairway. 
000000430961.jpg,A baseball player preparing to throw a pitch during a game.
000000062554.jpg,Several plates of food are set on a table.
000000070048.jpg,a table that has some food on top of it
000000438955.jpg,a bunch of people that are skiing on some snow
000000018575.jpg,"A burger sitting on a table, with another next to it."
000000238013.jpg,"A man is playing tennis, the ball is coming toward him."
000000128675.jpg,A man holding one water ski at the lake.
000000117719.jpg,A man changes a light bulb in a darkened bar.
000000467176.jpg,A group of friends playing a motion controlled video game
000000206579.jpg,Man blows out burning birthday candles which makes the flames higher.
000000131379.jpg,The browned cracked crust of a baked berry pie.
000000278705.jpg,Two young men skate down an urban road.
000000375469.jpg,two people riding surf boards on a wave
000000521509.jpg,A girl sitting on a bed is taking a self portrait.
000000084674.jpg,A little boy is being held on a lap while eating.
000000327701.jpg,A woman is playing tennis with her children.
000000262587.jpg,A man riding a wave on top of a yellow surfboard.
000000424521.jpg,A shirtless man doing skateboarding tricks near a stream
000000255747.jpg,Two  beige plates with thick sandwich and mustard.
000000570471.jpg,Man cutting a cake on the table in the kitchen.
000000031217.jpg,Person on tennis court preparing to return a volley.
000000561958.jpg,many people holding skis and snow boards on a snowy surface
000000079031.jpg,A kid on a surboard riding a little wave
000000364884.jpg,Spectators are watching a snowboard competition of the Olympics.
000000355677.jpg,a life guard station with a surf boar and a floatee 
000000349152.jpg,Several boxes of doughnuts in a line on a table.
000000193494.jpg,A bed in a ten with a colorful ceiling.
000000544519.jpg,An Asian child brushes their teeth with a blue toothbrush.
000000571313.jpg,A small room with different types of furniture and appliances that it makes it hard to tell what type of room it is.
000000556000.jpg,A group of kids playing a game with a Nintendo Wii controller.
000000530146.jpg,A white plate topped with a sandwich and sliced veggies.
000000036844.jpg,A spacious living room with three windows and a wooden floor.
000000024144.jpg,A pizza sitting on top of a pizza box covered in cheese.
000000318455.jpg,A table topped with three trays filled with cakes and desserts.
000000464358.jpg,a bed room with a neatly made bed 
000000189752.jpg,That salad and pizza make a filling lunch.
000000569059.jpg,A wooden desk sitting in a living room with a monitor on top of it.
000000341973.jpg,Two girls pose for a photo holding doughnuts.
000000162092.jpg,The woman is eating a piece of cake.
000000390246.jpg,A surfer teeters on the top of a wave.
000000514508.jpg,A man in bowler hat and lab coat by people in a tv frame.
000000312552.jpg,A woman holding a plate and eating pizza.
000000439525.jpg,A man and a woman cutting up a small white cake.
000000199442.jpg,A man riding a wave on top of a surfboard.
000000289059.jpg,A man standing on a tennis court holding a racquet.
000000039785.jpg,A person is surfing in a wave pool.
000000108503.jpg,Two surfers in wetsuits carrying surfboards along the beach.
000000251119.jpg,"The lunchbox has a cold sandwich, strawberry yogurt and orange juice. "
000000451150.jpg,Half a dozen donuts are sitting in a box.
000000263644.jpg,The antique bed has elaborate wood decoration on the frame..
000000082765.jpg,A bed and window in a small room.
000000199551.jpg,A picture of a young boy laying on top of a bed.
000000109798.jpg,three different donuts one is pink one is brown and one has white sprinkles
000000148739.jpg,A person in a wet suit on a surfboard
000000567011.jpg,A person riding a beautiful wave very smooth
000000328601.jpg,A tennis players concentrates as he prepares to smack the ball.
000000145597.jpg,A group of woman sitting around at a picnic.
000000010583.jpg,a plate of meat topped with potatoes veggies and gravy
000000122672.jpg,A guy on a surf board in the water.
000000276285.jpg,A small pizza in the middle of a table.
000000405195.jpg,This a case full of doughnuts and cinnamon buns.
000000080932.jpg,A child taking a bite of a pizza slice on a plate.
000000037689.jpg,There are two snowboarders in the air completing stunts.
000000180101.jpg,A boy getting ready to blow out candles on a birthday cake.
000000449312.jpg,A very nice cake dish with some pastries in it.
000000150417.jpg,An older woman sitting at a table with a cake
000000010092.jpg,A green netted bed in a light filled bedroom.
000000536038.jpg,A woman laying in bed reading a book while wearing purple socks.
000000188296.jpg,A group of foot ball players standing on top of a football field.
000000099428.jpg,A stack of different electronics devices on a table.
000000393056.jpg,a man wearing a wet suit riding the wave
000000579635.jpg,A man surfing in the ocean with a sail boat behind him.
000000210915.jpg,A man riding a surfboard on a wave in the ocean.
000000104424.jpg,A tennis player stands on a court holding a racket and smiles.
000000246883.jpg,Two men holding their surfboards near an ocean. 
000000111609.jpg,A man is sleeping with the covers pulled up high.
000000197022.jpg,I want the pizza that has extra cheese on it.
000000360393.jpg,"A thing is in the outline and it shows up like something 
"
000000250901.jpg,A group of people getting their food from a bag.
000000370999.jpg,some little stones sitting around a dime 
000000494913.jpg,Residential living room with fireplace and large television.
000000395903.jpg,A person walking in the ocean with a surfboard under their arm. 
000000302990.jpg,A person with a surfboard in a room.
000000541123.jpg,four tennis players with rackets on a court
000000044195.jpg,A woman with a snowboard with a man standing next to her on a ski slope.
000000513567.jpg,Two Asian women eating chili dogs while standing on a street.
000000276434.jpg,Bride and grooms arms cutting the wedding cake with fruit on top.
000000187990.jpg,A boy is riding a skateboard on a ramp.
000000143572.jpg,a tennis player swings his tennis racket 
000000515445.jpg,A group of people walking on top of a beach.
000000024567.jpg,There is a man looking at a lot if hot dogs in a bun in a pan
000000575081.jpg,A boy holding a game controller and playing a video game.
000000515828.jpg,A woman prepares to serve a tennis ball.
000000177357.jpg,A surfer in the ocean trying not to wipeout.
000000226147.jpg,A woman is taking a picture of food with a mobile device.
000000126137.jpg,A young man standing on top of a tennis court holding a racquet.
000000001490.jpg,A man in a wet suit stands on a surfboard and rows with a paddle.
000000397279.jpg,The tennis player does not know what to expect with the next serve.
000000565597.jpg,Slices of pizza upside down on a plate on a table.
000000055950.jpg,a man is playing tennis and is going to return the ball
000000527784.jpg,Two plates that have food on a counter.
000000149770.jpg,A man riding a wave on top of a surfboard.
000000444142.jpg,A man holding a tennis racquet on top of a tennis court.
000000239347.jpg,A picture of a recently married couple displayed behind glass.
000000203931.jpg,A baseball player at home plate preparing to swing.
000000093261.jpg,A man in blue shorts putting together a blue and purple kite on a blue towel at the beach. 
000000001503.jpg,A computer on a desk next to a laptop.
000000234607.jpg,A man and a woman playing a game on the Nintendo Wii.
000000357430.jpg,A large pizza sitting on a pizza pan with a slice missing.
000000529148.jpg,"Young children sharing a laptop in a messy room with several laptops, books, and papers."
000000186345.jpg,4 different colored sea horses flying with 4 birds.
000000482970.jpg,A laptop computer sitting on a desk with a speaker.
000000463690.jpg,The man is lying on the sidewalk with one leg in the air.
000000312237.jpg,People are having fun on a crowded beach.
000000031118.jpg,Christmas decorations surrounding a clock tower in a town square.
000000190637.jpg,a small child laying in bed playing nintendo wii
000000497599.jpg,A man in a tee looking at a computer
000000559842.jpg,Group of small children running down the field playing soccer.
000000074256.jpg,Two women standing next to each other in a train station.
000000294163.jpg,A large white clock tower filled with light.
000000292225.jpg,People are playing tennis behind a long fence.
000000167486.jpg,A man on a bicycle watching someone on stage
000000454404.jpg,A woman wearing a blue t-shirt while looking at her cell phone and sitting on a bench next to a bright pink wall.
000000380913.jpg,"SIX PEOPLE ON A BUS, WITH FIVE OF THEM ON THEIR ELECTRONICS"
000000383289.jpg,A security officer using a segway as a footrest
000000476787.jpg,There is a homemade pizza on a cutting board.
000000532690.jpg,A woman playing a Wii game with other people.
000000202001.jpg,An emo girl holding a smart phone with a shaved head.
000000290771.jpg,"Comfortable, modern living room overlooking a wooded area"
000000520077.jpg,A stack of books sitting on a desk with a bottle of beer.
000000281414.jpg,A woman with a book bag sits on a ledge with her cell phone.
000000031050.jpg,A vase with various flowers in it on a display case.
000000264968.jpg,A man with blue jersey holding a baseball bat.
000000568584.jpg,A ghost sitting on a living room chair.
000000463918.jpg,A couple of young guys standing next to each other in a living room.
000000489611.jpg,A young boy holding Nintendo Wii game controllers.
000000216296.jpg,a couple of guys with tennis rackets waiting on a ball
000000286553.jpg,A copse of men sitting next to each other at a table.
000000407868.jpg,Young people are flying kites at a park.
000000079588.jpg,Some people standing in front of a large building.
000000532761.jpg,A living room that is filled with furniture.
000000426241.jpg,A desktop computer sitting on top of a glass table.
000000014439.jpg,Some people in a grass field flying a kite in the sky.
000000505789.jpg,Two children standing near wrought iron fence near brick building.
000000001296.jpg,A woman holding a Hello Kitty phone on her hands.
000000022623.jpg,Closeup of a cellphone device with various buttons.
000000027620.jpg,A laptop sitting on a desk next to a chair and another computer.
000000449579.jpg,Woman in red shirt holding up a tennis racket on a court. 
000000308531.jpg,a pink clock tower rises above a tree line
000000284282.jpg,A blender is sitting next to a printer.
000000488673.jpg,A couple of people at a table in a kitchen.
000000117197.jpg,a lady on her phone sitting on a curb
000000261732.jpg,a man with a racket hits a tennis ball 
000000458045.jpg,Little boys playing on a baseball field in baseball uniforms. 
000000474021.jpg,A couple of guys playing on the nintendo wii at a gathering. 
000000235836.jpg,A boy playing baseball about to hit a ball.
000000051610.jpg,A young girl watches a laptop on a bed. 
000000306700.jpg,Woman showing off very large home made pizza.
000000046252.jpg,A batter ready to swing at home plate with an umpire and catcher behind him 
000000006771.jpg,A woman dressed up in a costume talking on a cell phone.
000000366141.jpg,a cat laying on top of a chair in the living room 
000000163117.jpg,A large group of people in a field with kites.
000000253433.jpg,a little teddy bear dressed in some BDSM gear and chains 
000000012120.jpg,A couple of women playing a game of tennis on a tennis court.
000000159791.jpg,A white refrigerator freezer covered in magnets and pictures.
000000434230.jpg,A vendor has lots of different vases for sale.
000000192904.jpg,The tray on the bed has a pastry and two mugs on it.
000000579655.jpg,A woman holding a phone in one hand up to her ear. 
000000357888.jpg,a man wearing an orange shirt holding up a tiny kite
000000371677.jpg,A couple of computer monitors sitting on top of a wooden desk.
000000007784.jpg,This is a large kite flying high in the sky.
000000507575.jpg,A computer desk with electronics on it and other desk accessories 
000000127270.jpg,A woman holding a tennis racket in her hand
000000328030.jpg,the teddy bear is holding a hockey stick 
000000367228.jpg,Young man flying a kite over a grassy area by water.
000000269121.jpg,A white-clad tennis player hurls a ball upward to deliver a serve.
000000180798.jpg,a cellphone sitting on a blue mesh blanket
000000032610.jpg,a desk top with a bunch of electronics on it 
000000438876.jpg,A senior tennis player prepares to backhand the ball.
000000394940.jpg,a kid eating a cake on  table looking around
000000060507.jpg,A batter at a game playing in a baseball game.
000000160012.jpg,A close up of a pizza pie sitting on a table.
000000324258.jpg,Adults playing in living room using remote controllers.
000000367386.jpg,A living room with some empty couches in it 
000000412286.jpg,A man swinging a tennis racquet towards a tennis ball.
000000293804.jpg,A living room with a fire place and furniture.
000000459954.jpg,A woman peaking around a pile of old refrigerators.
000000242934.jpg,A large living room is seen in this image.
000000071938.jpg,A man who fell asleep with phone on face
000000027186.jpg,A little girl playing with an interactive gaming unit.
000000005586.jpg,a tennis player with a racket on a court 
000000470173.jpg,A female statue in a sea of green grass next to plant
000000455352.jpg,a bell tower with a clock built inside of it 
000000284764.jpg,A man cutting up his meal before consumption.
000000025394.jpg,Bartender opening a bottle of wine while patron waits patiently
000000123633.jpg,A mother standing behind two baby boys sitting at a table.
000000249129.jpg,A group of teddy bears sitting at a small table in front of a christmas tree.
000000470773.jpg,"A pastry station, with an assortment of fillings and sauces"
000000305609.jpg,a table with many plates of food on top
000000231237.jpg,A vase with various flowers in it sitting on a tiled counter.
000000475572.jpg,"There are is a picture of a couple, a beany baby bear, and pot of grass on a mantle."
000000512929.jpg,A pair of girls are cooking in one pan together.
